date,中國-上海出口集裝箱運價指數[SCFI],中國出口集裝箱運價指數(CCFI)
2006-11-10,,1079.5000
2006-11-17,,1079.5000
2006-11-24,,1079.5000
2006-12-01,,1038.6900
2006-12-08,,1032.9700
2006-12-15,,1030.9200
2006-12-22,,1028.3000
2006-12-29,,1034.2400
2007-01-05,,1017.9200
2007-01-12,,1040.1700
2007-01-19,,1033.6500
2007-01-26,,1039.6300
2007-02-02,,1024.1500
2007-02-09,,1023.8800
2007-02-16,,1034.1500
2007-02-23,,1044.1300
2007-03-02,,1012.9300
2007-03-09,,1014.8500
2007-03-16,,1026.0700
2007-03-23,,1004.9800
2007-03-30,,993.7000
2007-04-06,,998.2400
2007-04-13,,1004.9000
2007-04-20,,1005.5700
2007-04-27,,1013.3800
2007-05-04,,1017.3300
2007-05-11,,1026.0600
2007-05-18,,1021.7500
2007-05-25,,1011.8900
2007-06-01,,1011.8900
2007-06-08,,1030.7200
2007-06-15,,1034.9400
2007-06-22,,1029.5300
2007-06-29,,1041.1700
2007-07-06,,1061.8800
2007-07-13,,1053.4700
2007-07-20,,1064.1300
2007-07-27,,1078.3400
2007-08-03,,1092.9500
2007-08-10,,1082.6500
2007-08-17,,1086.8400
2007-08-24,,1102.2000
2007-08-31,,1097.8400
2007-09-07,,1113.8200
2007-09-14,,1110.6800
2007-09-21,,1111.1800
2007-09-28,,1126.1400
2007-10-05,,1130.7200
2007-10-12,,1155.5000
2007-10-19,,1168.2500
2007-10-26,,1147.8500
2007-11-02,,1168.5400
2007-11-09,,1163.8000
2007-11-16,,1168.1200
2007-11-23,,1154.1200
2007-11-30,,1155.1700
2007-12-07,,1156.2400
2007-12-14,,1159.1700
2007-12-21,,1154.0400
2007-12-28,,1154.0400
2008-01-04,,1168.1600
2008-01-11,,1161.2100
2008-01-18,,1150.2400
2008-01-25,,1159.4500
2008-02-01,,1177.4700
2008-02-08,,1177.4700
2008-02-15,,1194.2800
2008-02-22,,1193.4500
2008-02-29,,1186.0800
2008-03-07,,1173.6600
2008-03-14,,1144.2200
2008-03-21,,1145.4100
2008-03-28,,1136.7500
2008-04-04,,1136.7500
2008-04-11,,1123.2300
2008-04-18,,1112.6100
2008-04-25,,1127.4200
2008-05-02,,1127.4200
2008-05-09,,1119.4200
2008-05-16,,1128.8600
2008-05-23,,1123.4500
2008-05-30,,1123.4500
2008-06-06,,1139.0600
2008-06-13,,1133.0500
2008-06-20,,1138.7300
2008-06-27,,1137.2200
2008-07-04,,1134.4300
2008-07-11,,1127.6100
2008-07-18,,1134.2000
2008-07-25,,1139.0300
2008-08-01,,1129.3600
2008-08-08,,1123.6300
2008-08-15,,1128.6000
2008-08-22,,1128.3400
2008-08-29,,1146.2400
2008-09-05,,1136.3800
2008-09-12,,1138.0100
2008-09-19,,1133.4600
2008-09-26,,1129.6600
2008-10-03,,1129.6600
2008-10-10,,1136.2100
2008-10-17,,1124.9200
2008-10-24,,1117.3800
2008-10-31,,1103.8600
2008-11-07,,1094.2200
2008-11-14,,1082.6800
2008-11-21,,1046.4100
2008-11-28,,1025.6700
2008-12-05,,1013.3000
2008-12-12,,982.1500
2008-12-19,,970.4800
2008-12-26,,946.5500
2009-01-02,,930.9300
2009-01-09,,915.7700
2009-01-16,,910.7000
2009-01-23,,889.3500
2009-01-30,,889.3500
2009-02-06,,886.9500
2009-02-13,,872.8200
2009-02-20,,869.8500
2009-02-27,,875.3200
2009-03-06,,848.2800
2009-03-13,,841.4400
2009-03-20,,835.2300
2009-03-27,,827.8700
2009-04-03,,824.4500
2009-04-10,,838.2400
2009-04-17,,833.9200
2009-04-24,,819.5500
2009-05-01,,822.7700
2009-05-08,,819.0600
2009-05-15,,813.9700
2009-05-22,,799.1300
2009-05-29,,798.0400
2009-06-05,,788.5900
2009-06-12,,780.6200
2009-06-19,,775.6400
2009-06-26,,763.3100
2009-07-03,,769.0500
2009-07-10,,784.0800
2009-07-17,,787.1400
2009-07-24,,789.5300
2009-07-31,,808.2300
2009-08-07,,828.1200
2009-08-14,,858.6300
2009-08-21,,866.9900
2009-08-28,,920.2400
2009-09-04,,939.4000
2009-09-11,,941.9000
2009-09-18,,945.3000
2009-09-25,,958.8700
2009-10-02,,958.8700
2009-10-09,,964.0500
2009-10-16,1000.0000,966.2500
2009-10-23,1009.0500,961.1300
2009-10-30,1035.7400,965.1500
2009-11-06,1061.7100,969.9800
2009-11-13,1052.6900,980.1100
2009-11-20,1051.3200,985.6000
2009-11-27,1040.9600,993.9400
2009-12-04,1037.1000,993.4500
2009-12-11,1039.4500,991.4500
2009-12-18,1059.1900,990.9800
2009-12-25,1072.5800,995.9400
2010-01-01,,995.9400
2010-01-08,1106.2800,1004.5800
2010-01-15,1179.6300,1004.8300
2010-01-22,1244.8100,1040.3800
2010-01-29,1333.9300,1057.7800
2010-02-05,1377.2000,1081.6700
2010-02-12,1396.2100,1124.9100
2010-02-19,,1124.9100
2010-02-26,1407.5500,1168.3100
2010-03-05,1402.8700,1133.3900
2010-03-12,1378.0900,1135.7100
2010-03-19,1341.5900,1127.6200
2010-03-26,1327.9300,1120.1200
2010-04-02,1326.4000,1123.4600
2010-04-09,1326.8900,1117.8900
2010-04-16,1326.5100,1117.1200
2010-04-23,1338.1500,1115.8700
2010-04-30,,1115.8700
2010-05-07,1392.0900,1120.4600
2010-05-14,1417.4200,1120.1300
2010-05-21,1445.1300,1125.7800
2010-05-28,1472.9000,1128.6200
2010-06-04,1502.0200,1137.4700
2010-06-11,1543.7200,1143.8500
2010-06-18,1569.0400,1155.0900
2010-06-25,1576.8400,1171.5400
2010-07-02,1583.1800,1172.0000
2010-07-09,1581.8500,1184.9100
2010-07-16,1579.1600,1193.0800
2010-07-23,1563.9700,1198.6500
2010-07-30,1555.3000,1209.0600
2010-08-06,1544.7100,1213.0800
2010-08-13,1527.0600,1211.7900
2010-08-20,1513.6000,1207.9600
2010-08-27,1485.9000,1214.7000
2010-09-03,1450.2200,1202.5900
2010-09-10,1413.4100,1198.7700
2010-09-17,1375.8100,1197.6900
2010-09-24,,1197.6900
2010-10-01,,1197.6900
2010-10-08,,1197.6900
2010-10-15,1301.3100,1153.1700
2010-10-22,1277.0400,1132.0800
2010-10-29,1259.1100,1133.9600
2010-11-05,1242.8700,1118.7000
2010-11-12,1220.7000,1107.6700
2010-11-19,1189.7100,1097.3300
2010-11-26,1157.4500,1089.1800
2010-12-03,1124.9800,1075.8400
2010-12-10,1101.4200,1073.3800
2010-12-17,1086.3800,1058.1100
2010-12-24,1082.8400,1060.9100
2010-12-31,1122.6800,1053.9300
2011-01-07,1126.9400,1056.5100
2011-01-14,1111.8400,1065.3200
2011-01-21,1107.8500,1060.6400
2011-01-28,1104.6400,1059.9500
2011-02-04,,1059.9500
2011-02-11,1091.3300,1051.1400
2011-02-18,1060.4700,1052.5200
2011-02-25,1036.5100,1056.0600
2011-03-04,1023.8000,1046.3900
2011-03-11,993.9900,1027.9000
2011-03-18,989.1700,1026.4600
2011-03-25,989.4300,1018.2500
2011-04-01,1012.6300,1016.2500
2011-04-08,1021.6800,1004.9500
2011-04-15,1021.6600,1011.3500
2011-04-22,1018.9700,1001.9600
2011-04-29,1043.2200,1005.8800
2011-05-06,1069.0300,1008.2600
2011-05-13,1074.2900,1010.6900
2011-05-20,1075.6000,1013.3700
2011-05-27,1071.0200,1015.3900
2011-06-03,1054.6000,1007.9200
2011-06-10,1046.8600,999.6800
2011-06-17,1031.4300,998.2800
2011-06-24,1024.7700,981.6500
2011-07-01,1030.8500,982.1300
2011-07-08,1030.6400,989.0900
2011-07-15,1016.8700,983.8400
2011-07-22,1009.3000,976.3600
2011-07-29,1013.0600,980.7800
2011-08-05,1019.1600,978.8500
2011-08-12,1033.2400,983.5200
2011-08-19,1064.1000,990.9700
2011-08-26,1064.2600,994.8800
2011-09-02,1057.1100,992.9900
2011-09-09,1041.2600,1001.4600
2011-09-16,1020.3800,996.3500
2011-09-23,991.3400,989.7800
2011-09-30,973.7300,975.6100
2011-10-07,,975.6100
2011-10-14,947.5400,966.0800
2011-10-21,939.1600,952.2800
2011-10-28,932.6200,951.9600
2011-11-04,919.4400,945.3700
2011-11-11,898.1800,935.7100
2011-11-18,885.3800,931.5700
2011-11-25,879.0500,923.6700
2011-12-02,868.3100,921.9900
2011-12-09,855.5400,911.7700
2011-12-16,853.6100,905.5200
2011-12-23,856.6400,892.7900
2011-12-30,947.5800,881.1500
2012-01-06,975.3100,896.0600
2012-01-13,981.0500,920.5600
2012-01-20,982.5600,924.2500
2012-01-27,,924.2500
2012-02-03,970.7100,943.4500
2012-02-10,965.2300,945.9600
2012-02-17,949.3300,943.5100
2012-02-24,977.0900,941.2000
2012-03-02,1163.9600,942.3700
2012-03-09,1170.5700,1002.7100
2012-03-16,1223.2500,1047.2300
2012-03-23,1230.1800,1072.8600
2012-03-30,1347.5000,1135.1100
2012-04-06,1374.9000,1175.7100
2012-04-13,1416.8700,1198.8700
2012-04-20,1426.2300,1214.6900
2012-04-27,1488.1400,1263.1000
2012-05-04,1501.4600,1263.9500
2012-05-11,1464.8200,1322.0100
2012-05-18,1426.0000,1335.8600
2012-05-25,1408.8100,1331.4000
2012-06-01,1386.9000,1324.6700
2012-06-08,1414.7200,1319.3800
2012-06-15,1450.2300,1312.9800
2012-06-22,1425.6600,1315.0300
2012-06-29,1460.5200,1307.3100
2012-07-06,1421.9400,1314.5600
2012-07-13,1372.5200,1313.8100
2012-07-20,1327.4500,1307.1800
2012-07-27,1327.0800,1284.3100
2012-08-03,1369.5700,1283.6400
2012-08-10,1363.4100,1273.5100
2012-08-17,1370.3600,1262.3200
2012-08-24,1333.6700,1257.0500
2012-08-31,1294.3900,1242.0900
2012-09-07,1267.0200,1226.0400
2012-09-14,1285.6300,1235.1800
2012-09-21,1260.5400,1227.0300
2012-09-28,1247.3400,1214.6200
2012-10-05,,1214.6200
2012-10-12,1202.9600,1187.7200
2012-10-19,1174.8000,1177.7100
2012-10-26,1230.1400,1166.0500
2012-11-02,1251.2000,1159.6200
2012-11-09,1193.6600,1155.9000
2012-11-16,1134.9800,1152.8500
2012-11-23,1077.3400,1144.9800
2012-11-30,1082.8200,1129.9000
2012-12-07,1052.9900,1106.2800
2012-12-14,1171.9800,1101.4600
2012-12-21,1146.6400,1107.5500
2012-12-28,1136.6200,1113.5800
2013-01-04,1148.0800,1109.8900
2013-01-11,1232.3500,1122.3600
2013-01-18,1245.8400,1125.2100
2013-01-25,1227.8400,1132.2700
2013-02-01,1219.3900,1142.4000
2013-02-08,1208.3700,1144.5500
2013-02-15,,1144.5500
2013-02-22,1165.3500,1152.4700
2013-03-01,1117.0400,1134.8200
2013-03-08,1072.8100,1110.7700
2013-03-15,1213.3100,1090.9200
2013-03-22,1156.6300,1107.5500
2013-03-29,1151.4700,1108.2500
2013-04-05,1141.2200,1111.8600
2013-04-12,1117.2400,1108.2700
2013-04-19,1086.0400,1097.0600
2013-04-26,1049.0200,1095.3000
2013-05-03,1026.8500,1101.5700
2013-05-10,1009.4800,1082.8200
2013-05-17,990.7800,1069.9700
2013-05-24,991.2500,1057.9200
2013-05-31,1013.7100,1035.0400
2013-06-07,981.7300,1028.9000
2013-06-14,954.8000,1035.0300
2013-06-21,927.5300,1017.0800
2013-06-28,1133.1400,1013.2600
2013-07-05,1118.1300,1034.9100
2013-07-12,1084.4100,1046.7000
2013-07-19,1071.1000,1074.8500
2013-07-26,1088.4500,1087.6700
2013-08-02,1162.7500,1105.2800
2013-08-09,1141.4900,1102.3100
2013-08-16,1117.3200,1132.0100
2013-08-23,1083.9900,1133.0400
2013-08-30,1109.1400,1126.0000
2013-09-06,1071.0300,1125.4400
2013-09-13,1011.6500,1112.1900
2013-09-20,990.9700,1104.9600
2013-09-27,936.8900,1090.6200
2013-10-04,,1090.6200
2013-10-11,894.4100,1039.7200
2013-10-18,881.7400,1010.0700
2013-10-25,892.4700,976.0100
2013-11-01,1128.7500,1011.5500
2013-11-08,1090.1600,1013.5200
2013-11-15,1089.3500,1043.7700
2013-11-22,1039.5000,1065.3200
2013-11-29,996.5200,1066.2200
2013-12-06,970.8500,1055.3400
2013-12-13,1117.3000,1046.7800
2013-12-20,1115.2900,1065.9500
2013-12-27,1113.7300,1084.4400
2014-01-03,1176.1200,1098.3700
2014-01-10,1167.5300,1115.5500
2014-01-17,1188.4400,1128.7300
2014-01-24,1173.9900,1148.3700
2014-01-31,1168.2500,1158.1600
2014-02-07,1164.7000,1164.8800
2014-02-14,1094.8300,1170.5900
2014-02-21,1036.8600,1133.9800
2014-02-28,981.0600,1115.2300
2014-03-07,934.3900,1086.7800
2014-03-14,945.3200,1075.4100
2014-03-21,929.4300,1068.6200
2014-03-28,1067.4400,1050.4200
2014-04-04,1064.8700,1069.6600
2014-04-11,1067.4200,1068.0500
2014-04-18,1047.9700,1070.9700
2014-04-25,1068.1800,1068.8900
2014-05-02,1143.8700,1066.2500
2014-05-09,1163.0600,1086.1900
2014-05-16,1161.3900,1096.5100
2014-05-23,1115.3600,1097.1800
2014-05-30,1108.6400,1103.5600
2014-06-06,1088.4100,1109.0300
2014-06-13,1075.4300,1102.9800
2014-06-20,1042.8400,1093.4500
2014-06-27,1058.6700,1092.1100
2014-07-04,1129.4200,1097.1200
2014-07-11,1100.1500,1092.0700
2014-07-18,1080.0600,1088.1400
2014-07-25,1060.7500,1092.2400
2014-08-01,1195.3600,1096.4400
2014-08-08,1171.6300,1112.0500
2014-08-15,1120.8200,1109.9600
2014-08-22,1076.4700,1114.0900
2014-08-29,1107.1900,1106.6900
2014-09-05,1133.8500,1121.4800
2014-09-12,1069.1100,1114.5100
2014-09-19,997.2500,1104.7600
2014-09-26,935.8100,1087.6700
2014-10-03,,1087.6700
2014-10-10,911.0300,1058.7600
2014-10-17,962.7200,1021.0200
2014-10-24,967.3100,1021.0100
2014-10-31,1112.0000,1018.2500
2014-11-07,1062.4600,1043.8700
2014-11-14,1050.7200,1040.6200
2014-11-21,1012.6700,1054.9600
2014-11-28,949.6500,1047.0400
2014-12-05,919.0000,1030.0700
2014-12-12,1135.5500,1016.5500
2014-12-19,1120.3300,1036.4100
2014-12-26,1076.6300,1044.9900
2015-01-02,1048.8800,1064.4200
2015-01-09,1006.3400,1060.6600
2015-01-16,1055.0900,1059.3000
2015-01-23,1091.4800,1057.4800
2015-01-30,1054.1300,1064.8200
2015-02-06,1087.3200,1065.6900
2015-02-13,1088.2800,1078.6900
2015-02-20,,1078.6900
2015-02-27,1023.0400,1076.2000
2015-03-06,960.2900,1064.2300
2015-03-13,887.6100,1067.9400
2015-03-20,821.3900,1034.2900
2015-03-27,804.5900,1010.3900
2015-04-03,763.9500,994.8300
2015-04-10,792.9200,969.0600
2015-04-17,721.6100,951.5500
2015-04-24,702.4600,926.8300
2015-05-01,761.0200,898.9700
2015-05-08,830.1300,888.2300
2015-05-15,757.6600,875.2100
2015-05-22,676.0500,891.6900
2015-05-29,661.5500,890.4200
2015-06-05,623.4700,862.1000
2015-06-12,581.2500,851.4000
2015-06-19,556.7200,825.9700
2015-06-26,640.6400,811.0900
2015-07-03,745.4500,790.6500
2015-07-10,666.0200,804.8000
2015-07-17,593.2000,842.8700
2015-07-24,548.7700,838.7100
2015-07-31,822.3900,818.8500
2015-08-07,749.6200,798.8900
2015-08-14,745.6000,819.6200
2015-08-21,674.5400,844.4200
2015-08-28,690.3800,833.2500
2015-09-04,718.9700,820.9100
2015-09-11,673.2500,819.8700
2015-09-18,622.6000,827.1600
2015-09-25,571.9500,814.0900
2015-10-02,,814.0900
2015-10-09,533.9100,782.7300
2015-10-16,568.7100,764.8400
2015-10-23,537.7300,752.2100
2015-10-30,759.0000,744.4400
2015-11-06,641.5100,742.0200
2015-11-13,544.3300,762.6400
2015-11-20,484.1400,775.6900
2015-11-27,535.2200,750.5400
2015-12-04,494.1000,718.5800
2015-12-11,527.1700,712.5800
2015-12-18,487.2600,716.4200
2015-12-25,488.6800,726.9100
2016-01-01,836.9600,723.2600
2016-01-08,745.9100,734.9500
2016-01-15,680.2200,770.8600
2016-01-22,615.7700,785.1100
2016-01-29,591.5100,778.7900
2016-02-05,566.9200,772.2700
2016-02-12,,772.2700
2016-02-19,486.7000,762.5100
2016-02-26,467.5400,751.5400
2016-03-04,433.4600,735.6600
2016-03-11,404.1800,705.6000
2016-03-18,400.4300,670.1100
2016-03-25,418.4700,659.1900
2016-04-01,511.9900,659.1900
2016-04-08,489.6800,640.2700
2016-04-15,472.0700,636.1400
2016-04-22,457.7000,652.6900
2016-04-29,603.6400,632.3600
2016-05-06,579.6000,643.6000
2016-05-13,563.2200,652.8000
2016-05-20,526.3900,660.6400
2016-05-27,577.8100,665.4400
2016-06-03,588.5900,658.4300
2016-06-10,557.6000,656.6900
2016-06-17,521.6000,658.6400
2016-06-24,550.6400,651.5900
2016-07-01,752.6500,645.6000
2016-07-08,677.7000,645.8000
2016-07-15,670.2900,684.4300
2016-07-22,628.5900,697.2500
2016-07-29,745.2000,704.6500
2016-08-05,680.5300,702.2500
2016-08-12,634.5400,702.8700
2016-08-19,597.4700,711.2800
2016-08-26,596.3800,705.2100
2016-09-02,763.0600,694.5900
2016-09-09,781.2100,702.6500
2016-09-16,794.1000,711.5500
2016-09-23,733.5600,736.0700
2016-09-30,707.6800,741.8100
2016-10-07,,741.8100
2016-10-14,776.9300,728.2200
2016-10-21,795.1600,729.6400
2016-10-28,884.9500,738.0300
2016-11-04,860.4800,752.9200
2016-11-11,825.1000,763.7800
2016-11-18,814.0100,774.5800
2016-11-25,782.1000,777.1300
2016-12-02,794.9800,774.0500
2016-12-09,797.6200,766.1500
2016-12-16,824.3900,770.5600
2016-12-23,824.0000,781.4300
2016-12-30,951.6600,811.1400
2017-01-06,968.4000,806.2600
2017-01-13,990.2400,840.3500
2017-01-20,971.6400,864.9000
2017-01-26,,876.1000
2017-01-27,954.2700,
2017-02-03,948.0800,877.8900
2017-02-10,886.2600,873.7500
2017-02-17,830.4600,845.4300
2017-02-24,815.1000,815.4600
2017-03-03,778.8600,794.9900
2017-03-10,761.1500,791.0900
2017-03-17,747.0300,785.6600
2017-03-24,758.8100,778.1500
2017-03-31,830.0200,778.8300
2017-04-07,809.2700,788.4300
2017-04-14,810.1700,803.0000
2017-04-21,807.5500,806.5300
2017-04-28,909.2500,818.9900
2017-05-05,894.4300,818.6100
2017-05-12,865.0300,837.7400
2017-05-19,830.8000,848.2700
2017-05-26,853.4300,846.2700
2017-06-02,894.8600,840.0900
2017-06-09,869.5000,841.5900
2017-06-16,838.3600,845.5400
2017-06-23,827.2700,851.2600
2017-06-30,918.8300,851.6000
2017-07-07,889.3800,851.5900
2017-07-14,861.9100,859.8800
2017-07-21,837.4200,877.3300
2017-07-28,925.4500,874.3800
2017-08-04,897.2800,865.5000
2017-08-11,878.2700,856.5000
2017-08-18,859.9200,853.7900
2017-08-25,821.3500,846.7300
2017-09-01,801.9500,839.8400
2017-09-08,774.2700,833.6100
2017-09-15,774.6000,823.7600
2017-09-22,735.9100,812.3800
2017-09-29,715.9700,803.2500
2017-10-13,724.9300,772.6500
2017-10-20,747.3800,772.2700
2017-10-27,806.8100,775.5400
2017-11-03,818.7300,779.4700
2017-11-10,782.2500,784.2900
2017-11-17,734.1500,794.4700
2017-11-24,705.1900,785.2000
2017-12-01,732.0400,772.7700
2017-12-08,703.6700,763.1400
2017-12-15,727.1400,764.4300
2017-12-22,723.2000,763.7500
2017-12-29,824.1800,770.6400
2018-01-05,816.5800,773.2800
2018-01-12,839.7200,791.3800
2018-01-19,840.3600,813.0000
2018-01-26,858.6000,819.5900
2018-02-02,883.5900,829.0000
2018-02-09,871.7600,836.6000
2018-02-14,,844.5800
2018-02-16,867.1600,
2018-02-23,854.1900,848.3200
2018-03-02,772.4500,845.4800
2018-03-09,729.4900,830.8800
2018-03-16,675.4600,809.7500
2018-03-23,646.5900,788.7400
2018-03-30,658.6800,769.6700
2018-04-04,,757.6600
2018-04-06,654.1700,
2018-04-13,659.7400,748.1600
2018-04-20,674.5800,750.3700
2018-04-27,760.6700,744.0600
2018-05-04,776.8800,743.7100
2018-05-11,778.8300,763.1200
2018-05-18,753.8300,785.6300
2018-05-25,764.3400,789.7600
2018-06-01,829.0900,788.7800
2018-06-08,806.0400,796.6500
2018-06-15,777.7000,814.8300
2018-06-22,751.1300,812.1800
2018-06-29,821.1800,815.8900
2018-07-06,817.4000,808.5500
2018-07-13,825.5700,822.9400
2018-07-20,793.7600,831.4200
2018-07-27,863.5900,820.7900
2018-08-03,890.5200,821.1300
2018-08-10,893.8800,823.7700
2018-08-17,891.8300,831.2900
2018-08-24,901.6600,840.4100
2018-08-31,939.4800,848.1600
2018-09-07,921.3600,856.0600
2018-09-14,909.7400,857.3700
2018-09-21,890.2100,851.5500
2018-09-28,870.5800,853.6100
2018-10-12,904.5100,833.6400
2018-10-19,926.2500,828.5900
2018-10-26,956.6300,829.2400
2018-11-02,976.5200,844.5900
2018-11-09,961.8800,854.3500
2018-11-16,951.5700,866.5800
2018-11-23,903.9000,859.9200
2018-11-30,890.4100,857.4500
2018-12-07,861.5500,856.3000
2018-12-14,848.6500,854.6500
2018-12-21,833.8500,841.6500
2018-12-28,910.8100,834.8600
2019-01-04,940.8600,841.7800
2019-01-11,940.0800,854.8100
2019-01-18,968.0700,871.5600
2019-01-25,945.4400,880.2500
2019-02-01,934.4400,891.3200
2019-02-15,888.2900,888.8400
2019-02-22,847.7500,878.7700
2019-03-01,803.7100,850.4700
2019-03-08,766.9200,830.4900
2019-03-15,742.1000,821.0400
2019-03-22,727.8800,813.3700
2019-03-29,793.4900,798.5200
2019-04-04,,797.1400
2019-04-05,792.2500,
2019-04-12,782.4600,799.7900
2019-04-19,761.7400,801.2800
2019-04-26,778.0000,802.2700
2019-05-10,756.8800,792.1500
2019-05-17,726.2300,804.4600
2019-05-24,723.9300,802.7200
2019-05-31,782.1200,798.3000
2019-06-06,,795.5800
2019-06-07,783.0500,
2019-06-14,779.1200,811.4400
2019-06-21,764.4600,818.8300
2019-06-28,829.7000,818.9700
2019-07-05,810.9100,815.0100
2019-07-12,817.4100,813.9900
2019-07-19,790.7700,816.3100
2019-07-26,788.9300,823.9500
2019-08-02,830.9400,822.9900
2019-08-09,822.0900,817.6400
2019-08-16,803.8200,830.1800
2019-08-23,774.6200,833.5600
2019-08-30,819.6500,833.2900
2019-09-06,795.0500,823.7500
2019-09-12,,823.8300
2019-09-13,765.7900,
2019-09-20,734.0900,818.3300
2019-09-27,722.9000,807.8400
2019-10-11,715.9700,783.1500
2019-10-18,746.6300,776.9200
2019-10-25,774.2700,777.3600
2019-11-01,847.1100,795.1000
2019-11-08,837.9900,808.9300
2019-11-15,797.7800,834.8700
2019-11-22,765.4700,835.9800
2019-11-29,819.6300,825.5700
2019-12-06,850.2700,822.7200
2019-12-13,880.4400,836.5500
2019-12-20,904.8300,854.3700
2019-12-27,958.5700,878.8600
2020-01-03,1022.7200,897.5300
2020-01-10,1002.5800,927.0600
2020-01-17,990.6800,964.9500
2020-01-23,,965.3100
2020-01-24,981.1900,
2020-02-14,910.5800,936.6500
2020-02-21,887.7200,920.0500
2020-02-28,875.7600,905.4000
2020-03-06,871.1600,904.2400
2020-03-13,911.8500,898.4400
2020-03-20,898.0500,894.2300
2020-03-27,889.8000,897.6900
2020-04-03,890.3700,896.0900
2020-04-10,867.8200,886.2600
2020-04-17,829.2900,884.1900
2020-04-24,818.1600,870.3300
2020-04-30,,851.1000
2020-05-01,852.2700,
2020-05-08,855.0700,834.9000
2020-05-15,854.0800,834.2400
2020-05-22,847.6300,836.6400
2020-05-29,920.3800,839.2700
2020-06-05,925.5000,841.1800
2020-06-12,1015.3300,839.1900
2020-06-19,988.8200,842.6000
2020-06-24,,841.8300
2020-06-26,1001.3300,
2020-07-03,1055.1300,853.9000
2020-07-10,1033.5800,864.7200
2020-07-17,1035.6100,862.1100
2020-07-24,1022.0300,870.8300
2020-07-31,1103.4700,865.5300
2020-08-07,1107.3900,864.8600
2020-08-14,1167.9100,880.5300
2020-08-21,1183.7000,885.4600
2020-08-28,1263.2600,905.2300
2020-09-04,1320.8000,922.0000
2020-09-11,1355.0400,949.4800
2020-09-18,1409.5700,985.4400
2020-09-25,1421.7500,1007.4400
2020-09-30,1443.5400,1023.0200
2020-10-09,1438.2200,1050.3200
2020-10-16,1448.8700,1053.8000
2020-10-23,1469.0300,1054.3400
2020-10-30,1529.9900,1074.1900
2020-11-06,1664.5600,1110.7000
2020-11-13,1857.3300,1107.2800
2020-11-20,1938.3100,1145.6700
2020-11-27,2048.2700,1198.7200
2020-12-04,2129.2600,1323.8300
2020-12-11,2311.7100,1411.9800
2020-12-18,2411.8200,1488.7200
2020-12-25,2641.8700,1577.2000
2020-12-31,2783.0300,1658.5800
2021-01-08,2870.3400,1753.8500
2021-01-15,2885.0000,1863.8400
2021-01-22,2868.9500,1966.6400
2021-01-29,2861.6900,2040.1800
2021-02-05,2884.6100,2060.2600
2021-02-10,2825.7500,2061.5100
2021-02-19,2875.9300,2071.7100
2021-02-26,2775.2900,2059.5200
2021-03-05,2721.9400,1970.5800
2021-03-12,2637.5300,1912.1300
2021-03-19,2583.8700,1908.0900
2021-03-26,2570.6800,1863.6100
2021-04-02,2585.4200,1871.7800
2021-04-09,2652.1200,1858.0100
2021-04-16,2833.4200,1853.5300
2021-04-23,2979.7600,1903.5000
2021-04-30,3100.7400,1991.1600
2021-05-07,3095.1600,2074.3500
2021-05-14,3343.3400,2134.3700
2021-05-21,3432.5000,2216.6300
2021-05-28,3495.7600,2296.3600
2021-06-04,3613.0700,2373.7700
2021-06-11,3703.9300,2442.5700
2021-06-18,3748.3600,2526.6500
2021-06-25,3785.4000,2591.4100
2021-07-02,3905.1400,2653.3200
2021-07-09,3932.3500,2698.8300
2021-07-16,4054.4200,2771.5400
2021-07-23,4100.0000,2854.0200
2021-07-30,4196.2400,2930.0300
2021-08-06,4225.8600,3006.8200
2021-08-13,4281.5300,2978.4700
2021-08-20,4340.1800,3047.3200
2021-08-27,4385.6200,3079.0400
2021-09-03,4502.6500,3097.5800
2021-09-10,4568.1600,3157.6000
2021-09-17,4622.5100,3156.8600
2021-09-24,4643.7900,3235.2600
2021-09-30,4614.1000,3220.5500
2021-10-08,4647.6000,3271.7000
2021-10-15,4588.0700,3300.3400
2021-10-22,4583.3900,3315.2700
2021-10-29,4567.2800,3277.7100
2021-11-05,4535.9200,3284.9300
2021-11-12,4554.0400,3232.3700
2021-11-19,4555.2100,3245.5900
2021-11-26,4601.9700,3199.9800
