WEEK,LOCATION,EQ TYPE,2019,2020,2021
1,LOS ANGELES,20,0.90,0.78,0.50
2,LOS ANGELES,20,0.85,0.77,0.52
3,LOS ANGELES,20,0.85,0.76,0.54
4,LOS ANGELES,20,0.87,0.65,0.54
5,LOS ANGELES,20,0.85,0.68,0.53
6,LOS ANGELES,20,0.84,0.69,0.68
7,LOS ANGELES,20,0.83,0.73,0.72
8,LOS ANGELES,20,0.82,0.79,0.76
9,LOS ANGELES,20,0.82,0.73,0.80
10,LOS ANGELES,20,0.81,0.71,0.84
11,LOS ANGELES,20,0.77,0.62,0.85
12,LOS ANGELES,20,0.77,0.64,0.89
13,LOS ANGELES,20,0.78,0.66,0.90
14,LOS ANGELES,20,0.77,0.59,0.92
15,LOS ANGELES,20,0.79,0.59,0.92
16,LOS ANGELES,20,0.79,0.55,0.90
17,LOS ANGELES,20,0.79,0.53,0.93
18,LOS ANGELES,20,0.76,0.44,
19,LOS ANGELES,20,0.77,0.52,
20,LOS ANGELES,20,0.79,0.55,
21,LOS ANGELES,20,0.77,0.56,
22,LOS ANGELES,20,0.75,0.59,
23,LOS ANGELES,20,0.80,0.58,
24,LOS ANGELES,20,0.82,0.56,
25,LOS ANGELES,20,0.82,0.49,
26,LOS ANGELES,20,0.82,0.50,
27,LOS ANGELES,20,0.82,0.50,
28,LOS ANGELES,20,0.81,0.53,
29,LOS ANGELES,20,0.78,0.52,
30,LOS ANGELES,20,0.81,0.55,
31,LOS ANGELES,20,0.82,0.55,
32,LOS ANGELES,20,0.81,0.55,
33,LOS ANGELES,20,0.83,0.54,
34,LOS ANGELES,20,0.82,0.54,
35,LOS ANGELES,20,0.80,0.55,
36,LOS ANGELES,20,0.79,0.51,
37,LOS ANGELES,20,0.79,0.56,
38,LOS ANGELES,20,0.79,0.61,
39,LOS ANGELES,20,0.79,0.73,
40,LOS ANGELES,20,0.75,0.82,
41,LOS ANGELES,20,0.73,0.86,
42,LOS ANGELES,20,0.75,0.86,
43,LOS ANGELES,20,0.78,0.85,
44,LOS ANGELES,20,0.81,0.84,
45,LOS ANGELES,20,0.82,0.85,
46,LOS ANGELES,20,0.82,0.86,
47,LOS ANGELES,20,0.83,0.64,
48,LOS ANGELES,20,0.84,0.34,
49,LOS ANGELES,20,0.84,0.27,
50,LOS ANGELES,20,0.82,0.46,
51,LOS ANGELES,20,0.79,0.54,
52,LOS ANGELES,20,0.81,0.63,
1,LOS ANGELES,40,0.84,0.60,0.50
2,LOS ANGELES,40,0.83,0.69,0.51
3,LOS ANGELES,40,0.82,0.74,0.52
4,LOS ANGELES,40,0.78,0.74,0.52
5,LOS ANGELES,40,0.77,0.75,0.52
6,LOS ANGELES,40,0.73,0.76,0.67
7,LOS ANGELES,40,0.70,0.76,0.71
8,LOS ANGELES,40,0.66,0.79,0.76
9,LOS ANGELES,40,0.66,0.76,0.80
10,LOS ANGELES,40,0.63,0.76,0.83
11,LOS ANGELES,40,0.60,0.66,0.85
12,LOS ANGELES,40,0.59,0.65,0.88
13,LOS ANGELES,40,0.62,0.69,0.90
14,LOS ANGELES,40,0.65,0.64,0.91
15,LOS ANGELES,40,0.68,0.67,0.91
16,LOS ANGELES,40,0.68,0.72,0.90
17,LOS ANGELES,40,0.69,0.74,0.92
18,LOS ANGELES,40,0.66,0.71,
19,LOS ANGELES,40,0.66,0.72,
20,LOS ANGELES,40,0.64,0.68,
21,LOS ANGELES,40,0.62,0.65,
22,LOS ANGELES,40,0.58,0.66,
23,LOS ANGELES,40,0.60,0.63,
24,LOS ANGELES,40,0.61,0.66,
25,LOS ANGELES,40,0.65,0.68,
26,LOS ANGELES,40,0.66,0.66,
27,LOS ANGELES,40,0.67,0.64,
28,LOS ANGELES,40,0.69,0.59,
29,LOS ANGELES,40,0.69,0.59,
30,LOS ANGELES,40,0.69,0.56,
31,LOS ANGELES,40,0.70,0.57,
32,LOS ANGELES,40,0.72,0.56,
33,LOS ANGELES,40,0.75,0.54,
34,LOS ANGELES,40,0.76,0.51,
35,LOS ANGELES,40,0.78,0.50,
36,LOS ANGELES,40,0.76,0.49,
37,LOS ANGELES,40,0.75,0.52,
38,LOS ANGELES,40,0.76,0.62,
39,LOS ANGELES,40,0.77,0.73,
40,LOS ANGELES,40,0.79,0.80,
41,LOS ANGELES,40,0.81,0.83,
42,LOS ANGELES,40,0.83,0.86,
43,LOS ANGELES,40,0.82,0.88,
44,LOS ANGELES,40,0.82,0.89,
45,LOS ANGELES,40,0.82,0.90,
46,LOS ANGELES,40,0.81,0.91,
47,LOS ANGELES,40,0.82,0.64,
48,LOS ANGELES,40,0.82,0.38,
49,LOS ANGELES,40,0.81,0.29,
50,LOS ANGELES,40,0.79,0.48,
51,LOS ANGELES,40,0.77,0.54,
52,LOS ANGELES,40,0.76,0.58,
1,SHANGHAI,20,0.41,0.14,0.33
2,SHANGHAI,20,0.41,0.17,0.37
3,SHANGHAI,20,0.42,0.19,0.34
4,SHANGHAI,20,0.36,0.25,0.35
5,SHANGHAI,20,0.30,0.36,0.35
6,SHANGHAI,20,0.23,0.46,0.56
7,SHANGHAI,20,0.29,0.47,0.55
8,SHANGHAI,20,0.30,0.43,0.58
9,SHANGHAI,20,0.31,0.39,0.62
10,SHANGHAI,20,0.33,0.35,0.65
11,SHANGHAI,20,0.35,0.31,0.63
12,SHANGHAI,20,0.36,0.28,0.63
13,SHANGHAI,20,0.32,0.25,0.66
14,SHANGHAI,20,0.30,0.26,0.64
15,SHANGHAI,20,0.30,0.25,0.62
16,SHANGHAI,20,0.30,0.24,0.60
17,SHANGHAI,20,0.28,0.23,0.64
18,SHANGHAI,20,0.30,0.20,
19,SHANGHAI,20,0.37,0.18,
20,SHANGHAI,20,0.43,0.19,
21,SHANGHAI,20,0.44,0.20,
22,SHANGHAI,20,0.44,0.22,
23,SHANGHAI,20,0.43,0.26,
24,SHANGHAI,20,0.42,0.26,
25,SHANGHAI,20,0.38,0.26,
26,SHANGHAI,20,0.38,0.27,
27,SHANGHAI,20,0.36,0.27,
28,SHANGHAI,20,0.34,0.27,
29,SHANGHAI,20,0.33,0.28,
30,SHANGHAI,20,0.31,0.30,
31,SHANGHAI,20,0.30,0.29,
32,SHANGHAI,20,0.31,0.31,
33,SHANGHAI,20,0.32,0.32,
34,SHANGHAI,20,0.35,0.34,
35,SHANGHAI,20,0.35,0.38,
36,SHANGHAI,20,0.37,0.46,
37,SHANGHAI,20,0.35,0.49,
38,SHANGHAI,20,0.37,0.50,
39,SHANGHAI,20,0.34,0.53,
40,SHANGHAI,20,0.33,0.48,
41,SHANGHAI,20,0.37,0.37,
42,SHANGHAI,20,0.41,0.27,
43,SHANGHAI,20,0.42,0.20,
44,SHANGHAI,20,0.40,0.15,
45,SHANGHAI,20,0.39,0.15,
46,SHANGHAI,20,0.40,0.18,
47,SHANGHAI,20,0.42,0.12,
48,SHANGHAI,20,0.41,0.05,
49,SHANGHAI,20,0.40,0.06,
50,SHANGHAI,20,0.38,0.30,
51,SHANGHAI,20,0.37,0.28,
52,SHANGHAI,20,0.37,0.37,
1,SHANGHAI,40,0.37,0.30,0.25
2,SHANGHAI,40,0.40,0.37,0.25
3,SHANGHAI,40,0.44,0.36,0.24
4,SHANGHAI,40,0.40,0.44,0.25
5,SHANGHAI,40,0.37,0.60,0.25
6,SHANGHAI,40,0.39,0.70,0.49
7,SHANGHAI,40,0.46,0.70,0.50
8,SHANGHAI,40,0.49,0.68,0.55
9,SHANGHAI,40,0.54,0.64,0.60
10,SHANGHAI,40,0.55,0.56,0.64
11,SHANGHAI,40,0.53,0.51,0.63
12,SHANGHAI,40,0.52,0.46,0.63
13,SHANGHAI,40,0.49,0.43,0.66
14,SHANGHAI,40,0.49,0.42,0.64
15,SHANGHAI,40,0.52,0.38,0.64
16,SHANGHAI,40,0.51,0.38,0.61
17,SHANGHAI,40,0.50,0.39,0.67
18,SHANGHAI,40,0.49,0.35,
19,SHANGHAI,40,0.51,0.36,
20,SHANGHAI,40,0.52,0.32,
21,SHANGHAI,40,0.50,0.30,
22,SHANGHAI,40,0.50,0.33,
23,SHANGHAI,40,0.50,0.34,
24,SHANGHAI,40,0.51,0.34,
25,SHANGHAI,40,0.50,0.35,
26,SHANGHAI,40,0.49,0.32,
27,SHANGHAI,40,0.48,0.33,
28,SHANGHAI,40,0.47,0.34,
29,SHANGHAI,40,0.44,0.34,
30,SHANGHAI,40,0.42,0.37,
31,SHANGHAI,40,0.42,0.39,
32,SHANGHAI,40,0.44,0.39,
33,SHANGHAI,40,0.43,0.39,
34,SHANGHAI,40,0.51,0.41,
35,SHANGHAI,40,0.52,0.47,
36,SHANGHAI,40,0.52,0.51,
37,SHANGHAI,40,0.48,0.55,
38,SHANGHAI,40,0.46,0.55,
39,SHANGHAI,40,0.42,0.55,
40,SHANGHAI,40,0.40,0.43,
41,SHANGHAI,40,0.44,0.31,
42,SHANGHAI,40,0.48,0.20,
43,SHANGHAI,40,0.49,0.12,
44,SHANGHAI,40,0.48,0.09,
45,SHANGHAI,40,0.49,0.09,
46,SHANGHAI,40,0.49,0.11,
47,SHANGHAI,40,0.49,0.10,
48,SHANGHAI,40,0.47,0.06,
49,SHANGHAI,40,0.49,0.02,
50,SHANGHAI,40,0.48,0.17,
51,SHANGHAI,40,0.46,0.20,
52,SHANGHAI,40,0.46,0.29,
