totaldiff,X_axis
4.85,2019-12-30
11.22,2019-12-31
-7.72,2020-01-01
2.13,2020-01-02
4.34,2020-01-03
-0.03,2020-01-04
-0.67,2020-01-05
3.92,2020-01-06
4.94,2020-01-07
7.32,2020-01-08
7.41,2020-01-09
9.77,2020-01-10
10.12,2020-01-11
7.75,2020-01-12
6.76,2020-01-13
6.45,2020-01-14
9.9,2020-01-15
6.92,2020-01-16
5.75,2020-01-17
-14.59,2020-01-18
-9.8,2020-01-19
-5.12,2020-01-20
-7.3,2020-01-21
-12.15,2020-01-22
-18.71,2020-01-23
-23.57,2020-01-24
-23.83,2020-01-25
-24.16,2020-01-26
-24.78,2020-01-27
-24.94,2020-01-28
-24.73,2020-01-29
-24.82,2020-01-30
-24.88,2020-01-31
-24.44,2020-02-01
-23.99,2020-02-02
-23.91,2020-02-03
-24.53,2020-02-04
-23.53,2020-02-05
-22.64,2020-02-06
-23.98,2020-02-07
-24.48,2020-02-08
-24.32,2020-02-09
-22.76,2020-02-10
-23.02,2020-02-11
-23.21,2020-02-12
-22.88,2020-02-13
-21.26,2020-02-14
-21.74,2020-02-15
-22.83,2020-02-16
-21.02,2020-02-17
-21.96,2020-02-18
-22.35,2020-02-19
-22.28,2020-02-20
-22.12,2020-02-21
-23.85,2020-02-22
-23.38,2020-02-23
-17.38,2020-02-24
-18.91,2020-02-25
-18.63,2020-02-26
-18.99,2020-02-27
-18.53,2020-02-28
-21.5,2020-02-29
-21.92,2020-03-01
-12.86,2020-03-02
-14.32,2020-03-03
-13.97,2020-03-04
-14.88,2020-03-05
-14.46,2020-03-06
-19.9,2020-03-07
-20.4,2020-03-08
-9.24,2020-03-09
-11.59,2020-03-10
-11.95,2020-03-11
-12.2,2020-03-12
-11.48,2020-03-13
-17.43,2020-03-14
-16.9,2020-03-15
-7.45,2020-03-16
-9.32,2020-03-17
-8.86,2020-03-18
-8.6,2020-03-19
-8.89,2020-03-20
-14.61,2020-03-21
-15.73,2020-03-22
-5.49,2020-03-23
-6.91,2020-03-24
-7.1,2020-03-25
-9.34,2020-03-26
-9.02,2020-03-27
-16.39,2020-03-28
-17.68,2020-03-29
-6.15,2020-03-30
-6.75,2020-03-31
-8.37,2020-04-01
-7.7,2020-04-02
-3.34,2020-04-03
-18.39,2020-04-04
-17.47,2020-04-05
-18.17,2020-04-06
-6.05,2020-04-07
-6.44,2020-04-08
-7.3,2020-04-09
-7.36,2020-04-10
-13.99,2020-04-11
-13.47,2020-04-12
-4.82,2020-04-13
-7.14,2020-04-14
-6.54,2020-04-15
-7.21,2020-04-16
-7.25,2020-04-17
-12.43,2020-04-18
-14.33,2020-04-19
-4.86,2020-04-20
-5.2,2020-04-21
-5.08,2020-04-22
-7.17,2020-04-23
-6.53,2020-04-24
-12.29,2020-04-25
-4.93,2020-04-26
-3.64,2020-04-27
-3.82,2020-04-28
-3.13,2020-04-29
4.52,2020-04-30
-14.29,2020-05-01
-14.62,2020-05-02
-13.11,2020-05-03
-15.44,2020-05-04
-13.45,2020-05-05
-2.07,2020-05-06
-2.57,2020-05-07
-3.6,2020-05-08
-0.97,2020-05-09
-9.23,2020-05-10
-1.99,2020-05-11
-3.58,2020-05-12
-4.44,2020-05-13
-4.31,2020-05-14
-1.92,2020-05-15
-9.22,2020-05-16
-10.66,2020-05-17
-1.32,2020-05-18
-2.68,2020-05-19
-0.56,2020-05-20
-2.62,2020-05-21
-2.98,2020-05-22
-9.99,2020-05-23
-10.74,2020-05-24
-1.8,2020-05-25
-3.05,2020-05-26
-4.38,2020-05-27
-4.19,2020-05-28
-1.45,2020-05-29
-6.92,2020-05-30
-8.13,2020-05-31
-2.97,2020-06-01
-2.68,2020-06-02
-3.54,2020-06-03
-3.8,2020-06-04
0.01,2020-06-05
-7.15,2020-06-06
-10.06,2020-06-07
-2.68,2020-06-08
-2.94,2020-06-09
-2.71,2020-06-10
-3.72,2020-06-11
-0.93,2020-06-12
-6.96,2020-06-13
-11.25,2020-06-14
-1.24,2020-06-15
-3.08,2020-06-16
-3.94,2020-06-17
-3.21,2020-06-18
-2.75,2020-06-19
-7.45,2020-06-20
-10.11,2020-06-21
-2.98,2020-06-22
-1.36,2020-06-23
6.73,2020-06-24
-13.78,2020-06-25
-16.48,2020-06-26
-12.21,2020-06-27
0.93,2020-06-28
-4.07,2020-06-29
-4.17,2020-06-30
-5.19,2020-07-01
-4.71,2020-07-02
-4.42,2020-07-03
-8.44,2020-07-04
-10.35,2020-07-05
-2.76,2020-07-06
-5.4,2020-07-07
-4.53,2020-07-08
-3.17,2020-07-09
-1.92,2020-07-10
-6.04,2020-07-11
-8.63,2020-07-12
-3.34,2020-07-13
-4.38,2020-07-14
-1.85,2020-07-15
-3.24,2020-07-16
-2.91,2020-07-17
-5.44,2020-07-18
-8.09,2020-07-19
-4.42,2020-07-20
-4.21,2020-07-21
-4.14,2020-07-22
-4.69,2020-07-23
-3.73,2020-07-24
-4.68,2020-07-25
-6.88,2020-07-26
-3.59,2020-07-27
-3.85,2020-07-28
-4.47,2020-07-29
-5.22,2020-07-30
-2.67,2020-07-31
-5.51,2020-08-01
-9.56,2020-08-02
-3.97,2020-08-03
-4.37,2020-08-04
-3.3,2020-08-05
-5.39,2020-08-06
-3.73,2020-08-07
-5.08,2020-08-08
-7.08,2020-08-09
-3.08,2020-08-10
-3.44,2020-08-11
-5.1,2020-08-12
-3.71,2020-08-13
-2.63,2020-08-14
-4.77,2020-08-15
-7.09,2020-08-16
-3.96,2020-08-17
-1.97,2020-08-18
-3.84,2020-08-19
-2.99,2020-08-20
-3.07,2020-08-21
-4.3,2020-08-22
-6.5,2020-08-23
-2.31,2020-08-24
0.97,2020-08-25
-1.29,2020-08-26
-3.31,2020-08-27
-0.95,2020-08-28
-3.96,2020-08-29
-7.2,2020-08-30
-2.72,2020-08-31
-2.63,2020-09-01
-2.52,2020-09-02
-2.41,2020-09-03
